Image Name,HAPPY,SAD,ANGRY,CONFUSED,DISGUSTED,SURPRISED,CALM,UNKNOWN,FEAR,section,Gender,Dominant Emotion
8b54bb87-8ef7-5891-a49d-5fff21d33a20,0.447,0.005,0.077,0.068,0.004,0.083,97.768,,0,Economy,Woman,CALM
5e4c64df-3907-5a3a-a5dd-7fe6c2839913,0.055,0.236,0.935,0.617,0.049,0.609,96.164,,0.032,Television,Man,CALM
cd95a10b-1154-50f0-8515-78de2c14395c,0.001,0.433,11.53,87.727,0.035,0.007,1.776,,0.003,Science,Man,CONFUSED
08a573c8-2351-5043-a727-e30ea4cfec25,0.008,7.843,39.526,1.611,0.39,0.417,39.233,,0.244,Global Business,Man,ANGRY
3cf3c11b-bc60-51b3-be02-2f0405180642,0.026,2.065,1.233,5.127,0.027,0.275,86.543,,0.001,Technology,Man,CALM
4e0d35ab-7b83-516b-8411-bf461257bb74,100,0,0,0.001,0,0.038,0,,0.002,Books,Woman,HAPPY
faaf9e88-9d67-5220-8488-3515e80deff3,0.042,2.309,0.252,0.14,0.011,0.036,95.815,,0.017,Economy,Man,CALM
c23c8eed-6165-53f1-aca9-017fa788488c,0.003,0.967,1.452,0.273,0.001,0.035,95.954,,0.009,Automobiles,Man,CALM
132d63d9-613f-543f-869f-d2957fa901cd,0.155,0.007,0.011,0.016,0.001,0.048,99.163,,0.001,Media,Man,CALM
210b7de2-e5ac-5f33-b66b-57fc3d819397,100,0,0,0,0,0.011,0.001,,0,Automobiles,Woman,HAPPY
3dbf2113-4768-5694-9fc0-52d5a7c0f96d,0.003,4.05,2.403,5.544,0.1,0.34,81.782,,0.03,Media,Woman,CALM
7f8859c9-055f-5039-b4c2-a092e54eb00c,0,99.938,0.001,0.163,0.03,0.004,0.036,,0.034,Travel,Man,SAD
0cafe186-69f0-55e4-a39a-6e8cce20873a,0.038,3.448,6.775,1.433,0.127,0.372,83.125,,0.009,Music,Man,CALM
0e0ec21d-9ce2-57cd-ac0d-0df72024c8ca,88.75,0.014,0.042,1.081,0.047,0.472,1.308,,0.002,Education,Man,HAPPY
1b54cf48-3974-5aac-8dd4-c50d251c4c69,0,0.35,0.012,2.782,0.049,13.76,0.006,,91.998,Education,Woman,FEAR
0a9e0198-69e4-5283-959d-9da050b0a475,0.119,0.311,0.939,0.383,0.016,0.225,96.722,,0.022,Television,Woman,CALM
4ec29e5e-a00a-5911-91f6-77c53fe3e89f,0.001,0.026,0.005,0.004,0,0.005,100,,0.001,Health,Man,CALM
75be285d-b7f9-542b-bcd3-4c4bb75ebe6d,0,2.513,0.772,0.167,0.002,0.008,95.047,,0,Science,Man,CALM
8a050fac-180b-592c-a011-22f6ade06849,0.023,10.791,0.212,0.286,0.012,0.173,48.859,,9.924,Science,Man,CALM
5c5b0aac-2a53-52bf-9272-83e44cffadee,0.028,0.557,0.352,0.639,0.015,0.17,97.28,,0.004,Television,Man,CALM
4d49f77c-1037-5c4c-84ca-85065b01684e,0.223,1.779,31.396,35.615,0.327,11.119,7.593,,8.307,Television,Man,CONFUSED
b7499ba8-c86a-5bfb-91a4-7721c2076873,0.01,42.793,0.241,0.79,0.018,0.098,48.092,,0.159,Theater,Man,CALM
64d97b15-b142-5a1b-aa6b-c0270d0a6300,0.002,23.32,0.058,0.226,0.016,0.692,54.732,,0.364,Technology,Woman,CALM
2d034103-c667-537c-8331-0bceff160352,0,4.294,10.626,86.14,0.007,0.066,0.121,,0.014,Global Business,Man,CONFUSED
87ae5efb-f7bb-5350-9f21-905f52788024,100,0,0,0,0,0.003,0,,0,Travel,Man,HAPPY
5bfb2ce5-1fd1-5bc2-befb-f9b9db24d96f,0.148,0.144,0.258,0.106,0.03,0.74,97.698,,0.02,Style,Woman,CALM
6083f931-617f-5083-b3f6-b9fa7d824354,0.008,0.548,0.006,0.015,0.005,0.041,99.023,,0.002,Education,Woman,CALM
c905825a-fa82-5503-82b7-41d5e2fd2abe,0.089,0.006,0,0.01,0,0.002,99.581,,0,Media,Man,CALM
847e27d1-66ee-5a0e-b8c8-09245319145b,0.012,57.529,4.395,20.926,0.095,0.137,23.052,,0.022,Global Business,Man,SAD
04c52a41-d68f-56f7-9a62-e1fe314b3b1d,0,8.649,0.427,0.016,0.003,0.009,87.336,,0.015,Education,Man,CALM
150beddb-80a6-55cc-bc32-fbabedd8c8e9,0.004,0.795,0.129,0.065,0.028,0.017,98.465,,0.006,Dance,Man,CALM
11af55a5-5e8b-5bcc-b23c-b62a0c2ecd92,0.002,0.111,1.331,0.02,0.002,0.012,97.907,,0.001,Health,Man,CALM
4e9e5d5c-4caa-58bb-9605-636a970fb190,93.652,0.005,0.002,0.009,0.001,0.1,1.796,,0.001,Theater,Woman,HAPPY
3b54e761-8bbb-544a-b2a6-a0f4c93eb0a5,0.102,0.009,0.054,2.56,0.01,15.792,77.363,,0.005,Dance,Man,CALM
0a73f9d0-03eb-520d-adca-8bd1c4edd945,0.006,0.072,0.19,0.083,0.01,0.204,99.163,,0.033,Style,Man,CALM
75d0107a-e0ba-5086-91c2-dfb71ae1c40f,0.001,14.697,0.403,75.469,0.027,0.851,0.276,,3.069,Real Estate,Man,CONFUSED
0f0dcf7e-0f55-53e4-abaf-0d5a9ecfb385,0.001,11.121,0.463,6.836,0.048,0.061,59.127,,0.01,Music,Man,CALM
4776905e-6566-59b6-a568-19e7be581ebb,0.017,1.154,0.278,0.273,0.021,0.583,96.443,,0.069,Style,Woman,CALM
03c88ee3-065c-5a1c-8c1f-d82d815e82ee,0,4.956,0.695,0.068,0.004,0.019,91.211,,0.179,Movies,Man,CALM
4f7737ca-2386-5cb0-9111-b2c0b75e6dd7,0.201,10.547,1.772,19.13,0.351,67.979,8.496,,5.942,Theater,Man,SURPRISED
5ea4c85b-5bd8-5e90-89e1-55760c9628f3,0.046,0.071,0.01,0.093,0,0.03,99.442,,0.006,Art & Design,Man,CALM
b3c95354-860c-59c6-9543-85c23d893452,1.291,0.078,0.596,0.367,0.057,0.491,92.188,,0.003,Real Estate,Woman,CALM
4c1a0138-0db3-5536-8260-c61083312b1f,0.024,0.694,0.994,0.547,0.008,0.016,96.443,,0.011,Your Money,Woman,CALM
7cb4ad76-bca1-5da0-80da-d1e6acb0e75f,1.673,0.463,0.166,0.232,0.045,0.478,90.862,,0.002,Global Business,Woman,CALM
a81c5846-187e-567a-8f93-f1583d6650b2,0.008,0.099,0.034,0.322,0.019,0.287,98.744,,0.035,Automobiles,Man,CALM
4d150301-2c8e-546e-a05e-f0cbe389eb8e,0.046,14.636,0.708,33.104,0.019,2.199,6.427,,47.434,Sports,Man,FEAR
4fedafc6-a4bf-593b-943d-b66a5b8cb9d1,6.458,0.001,0.006,0.164,0.001,92.873,0.013,,0.367,Well,Woman,SURPRISED
345ad404-57d6-5bcb-83e2-2520871b53f5,0.036,51.499,0.3,6.165,0.194,0.441,41.93,,0.528,Art & Design,Woman,SAD
780e7d9f-c14f-595b-8606-2d39e1c2668e,0.014,0.08,0.645,0.164,0.007,0.22,98.186,,0.048,Economy,Man,CALM
397095da-a677-5a24-a719-6c35705a97ef,0.015,0.64,52.441,19.68,0.131,0.151,19.902,,0.041,Global Business,Man,ANGRY
2b3649ac-03eb-5654-9302-9469496d7bb2,0.006,9.985,0.117,31.273,0.008,0.178,46.115,,0.047,Global Business,Man,CALM
3f6d381f-4daf-5d5f-9518-7449bad45588,21.455,0.033,0.324,2.357,0.086,39.811,3.522,,0.221,Technology,Man,SURPRISED
c2066e9d-ed08-5531-8c5c-5d9d9cda463b,91.048,0,0.001,0.008,0,3.231,0.004,,0.03,Food,Woman,HAPPY
3f814042-695a-567e-8b00-104e333db494,20.283,0,0,0.015,0,62.457,0.002,,0.001,Television,Man,SURPRISED
59fc71a7-9036-523c-aeed-62939463540a,0.002,1.539,0.148,0.049,0.006,0.025,97.419,,0.008,Fashion & Style,Woman,CALM
2a0a7e1d-d489-5a4f-9ad2-f92b4354e11c,0.291,0.018,0.096,0.079,0.007,0.138,98.186,,0.003,Music,Woman,CALM
b5386777-ba2c-5fca-b525-71f880d2d2e1,0.016,0.379,1.77,0.16,0.006,0.098,96.303,,0.043,Education,Woman,CALM
5d229973-a1b8-5247-bb37-3193fccbc2aa,0.003,0.446,2.138,0.354,0.01,0.027,95.675,,0.001,Movies,Man,CALM
4a04c1e0-6091-5dfd-bf6e-3b3f24e95cbc,0.088,0.357,1.624,0.667,0.048,0.335,95.117,,0.028,Sports,Man,CALM
45069db8-1748-5b13-8783-c6f2191c6dc8,0.297,0.039,0.326,0.142,0.056,2.453,94.629,,0.159,Dance,Woman,CALM
abca2d65-d2cd-5d2d-8193-60a58d72d87c,0.006,0.119,0.1,0.023,0.008,0.011,99.581,,0.001,Opinion,Man,CALM
1a817f85-7020-5dd9-9764-305a51f442a5,0.023,0.887,0.132,0.148,0.006,0.068,98.047,,0.015,Your Money,Woman,CALM
15f8e061-6898-5f86-a42d-5d6a6a4e238c,7.373,0.066,0.07,0.167,0.028,4.765,52.682,,0.001,Travel,Woman,CALM
4f532c11-fb0a-5d4a-8a68-ee4f73f7bd92,0.002,0.88,0.321,0.068,0.006,0.004,98.047,,0.001,Food,Man,CALM
d87f769e-3d74-557e-829b-5a2f86bf7a40,0.136,0.094,0.018,0.053,0.002,0.504,98.605,,0.005,Travel,Woman,CALM
1f7e0922-51e8-519a-a3d3-e695e3d898d9,0.023,0.368,0.538,0.16,0.002,0.473,97.419,,0.145,Real Estate,Man,CALM
0a1d1c51-6261-5bae-8df6-86ae94ad59b7,1.332,0.377,5.591,1.201,0.072,79.428,18.34,,2.62,Fashion & Style,Man,SURPRISED
c3a90602-23d3-5313-bfc6-4d6ed7275328,0.001,2.013,2.206,1.066,0.004,0.089,91.978,,0.008,Your Money,Woman,CALM
2d88756e-5d3a-558a-8ab1-6dfee44bb86e,0.511,0.139,0.46,0.408,0.089,0.745,95.257,,0.015,Style,Woman,CALM
e64cb66b-cd1f-50cf-bd38-ba4d1accd2c2,0.017,1.328,0.01,0.453,0.007,0.053,97.14,,0.002,Economy,Man,CALM
2f557e22-969a-5f2f-9b65-5b3b41d17f95,0.039,1.366,0.127,0.03,0.007,0.326,97.28,,0.019,Opinion,Woman,CALM
4a7699bd-4bc3-51bd-b8a3-181916f44a12,0.003,90.574,0.428,38.824,0.01,0.232,6.293,,0.245,Travel,Man,SAD
2fc87f87-9e9c-56fb-8aa8-812718cd3b6b,6.185,0.025,0.018,0.027,0.003,0.59,59.908,,0.007,Real Estate,Man,CALM
2dcd5b4c-b3ab-5c40-a212-ffa749753290,0.291,0.063,21.216,38.161,0.499,15.626,21.139,,0.974,Opinion,Man,CONFUSED
6549e5af-79b6-569d-af4c-8fbf1d14796a,0.074,0.003,0.007,0.015,0,0.041,99.581,,0,Well,Woman,CALM
