Image Name,HAPPY,SAD,ANGRY,CONFUSED,DISGUSTED,SURPRISED,CALM,UNKNOWN,FEAR,section,Gender,Dominant Emotion
150beddb-80a6-55cc-bc32-fbabedd8c8e9,0.087,1.02,1.921,3.578,1.662,89.447,10.519,,4.556,Dance,Man,SURPRISED
11af55a5-5e8b-5bcc-b23c-b62a0c2ecd92,0.406,1.214,0.589,11.892,2.992,65.333,23.92,,3.943,Health,Man,SURPRISED
4e9e5d5c-4caa-58bb-9605-636a970fb190,5.05,1.965,0.276,2.902,0.813,2.615,54.781,,0.208,Theater,Woman,CALM
3b54e761-8bbb-544a-b2a6-a0f4c93eb0a5,0.05,2.995,0.554,6.551,0.062,0.836,69.551,,2.403,Dance,Woman,CALM
847e27d1-66ee-5a0e-b8c8-09245319145b,0.03,0.967,2.129,0.408,0.677,0.004,93.722,,0.001,Global Business,Man,CALM
04c52a41-d68f-56f7-9a62-e1fe314b3b1d,0.056,0.045,0.035,0.048,0.013,0.008,99.581,,0.002,Education,Woman,CALM
0f0dcf7e-0f55-53e4-abaf-0d5a9ecfb385,0.009,81.146,4.892,5.335,0.069,0.355,26.632,,0.109,Music,Man,SAD
0a73f9d0-03eb-520d-adca-8bd1c4edd945,0,8.472,87.744,0.539,0.24,0.007,2.809,,0.033,Style,Woman,ANGRY
75d0107a-e0ba-5086-91c2-dfb71ae1c40f,0.011,0.071,0.017,0.112,0.06,0.062,99.442,,0.001,Real Estate,Man,CALM
5c5b0aac-2a53-52bf-9272-83e44cffadee,86.797,0.013,0.002,0.268,0.045,1.945,0.887,,0.261,Television,Man,HAPPY
4d49f77c-1037-5c4c-84ca-85065b01684e,0.289,0.249,27.905,11.489,0.229,0.259,43.348,,0.021,Television,Man,CALM
6083f931-617f-5083-b3f6-b9fa7d824354,80.449,0.001,0.029,0.15,0.083,1.387,2.501,,0.002,Education,Man,HAPPY
c905825a-fa82-5503-82b7-41d5e2fd2abe,0.134,7.892,0.03,11,0.897,3.79,53.756,,0.017,Media,Man,CALM
b7499ba8-c86a-5bfb-91a4-7721c2076873,2.553,0.007,87.5,0.696,0.184,0.427,0.404,,1.521,Theater,Man,ANGRY
64d97b15-b142-5a1b-aa6b-c0270d0a6300,12.443,0.176,1.346,1.884,0.661,18.207,29.915,,0.205,Technology,Man,CALM
5bfb2ce5-1fd1-5bc2-befb-f9b9db24d96f,0.006,1.146,0.005,6.704,0.007,0.417,86.604,,0.081,Style,Man,CALM
2d034103-c667-537c-8331-0bceff160352,0.01,0.498,0.591,2.8,0.209,0.453,92.606,,0.074,Global Business,Man,CALM
87ae5efb-f7bb-5350-9f21-905f52788024,86.797,0.003,0.07,0.091,0.011,0.249,2.898,,0,Travel,Man,HAPPY
1b54cf48-3974-5aac-8dd4-c50d251c4c69,0.004,1.13,4.996,0.809,1.657,0.025,87.703,,0.001,Education,Woman,CALM
0e0ec21d-9ce2-57cd-ac0d-0df72024c8ca,99.674,0.001,0.014,0.017,0.007,0.05,0.006,,0.007,Education,Man,HAPPY
0a9e0198-69e4-5283-959d-9da050b0a475,100,0.002,0.001,0.017,0.012,0.003,0.002,,0.001,Television,Woman,HAPPY
7f8859c9-055f-5039-b4c2-a092e54eb00c,1.727,0.89,0.135,8.642,0.165,0.32,69.795,,0.024,Travel,Man,CALM
0cafe186-69f0-55e4-a39a-6e8cce20873a,30.814,0.6,0.018,2.968,1.095,0.233,16.216,,0.002,Music,Man,HAPPY
75be285d-b7f9-542b-bcd3-4c4bb75ebe6d,0.094,0.197,0.924,1.905,0.092,8.698,84.407,,0.375,Science,Man,CALM
8a050fac-180b-592c-a011-22f6ade06849,0.126,3.22,0.286,59.987,0.932,23.451,1.619,,9.021,Science,Man,CONFUSED
4ec29e5e-a00a-5911-91f6-77c53fe3e89f,100,0,0,0,0,0.003,0.005,,0,Health,Man,HAPPY
cd95a10b-1154-50f0-8515-78de2c14395c,0.303,0.008,0.02,12.478,0.201,94.192,0.751,,0.103,Science,Man,SURPRISED
5e4c64df-3907-5a3a-a5dd-7fe6c2839913,0.046,0.259,0.472,0.918,0.22,0.192,96.582,,0.012,Television,Man,CALM
8b54bb87-8ef7-5891-a49d-5fff21d33a20,99.674,0.001,0.003,0.011,0.035,0.023,0.003,,0.001,Economy,Woman,HAPPY
3dbf2113-4768-5694-9fc0-52d5a7c0f96d,1.012,0.178,0.791,2.764,0.693,3.242,85.444,,0.026,Media,Man,CALM
08a573c8-2351-5043-a727-e30ea4cfec25,2.966,0.604,0.334,4.463,0.028,8.942,55.318,,0.664,Global Business,Man,CALM
3cf3c11b-bc60-51b3-be02-2f0405180642,0.007,0.309,0.904,2.183,0.045,0.108,88.557,,2.106,Technology,Man,CALM
4e0d35ab-7b83-516b-8411-bf461257bb74,0.095,0.452,0.064,0.238,0.293,0.006,98.047,,0,Books,Woman,CALM
faaf9e88-9d67-5220-8488-3515e80deff3,0,90.121,3.748,43.313,0.306,0.041,0.306,,0.443,Economy,Woman,SAD
132d63d9-613f-543f-869f-d2957fa901cd,98.047,0.004,0.091,0.213,0.063,0.068,0.076,,0.007,Media,Man,HAPPY
210b7de2-e5ac-5f33-b66b-57fc3d819397,0.149,0.068,0.026,0.668,0.124,0.294,97.559,,0.032,Automobiles,Man,CALM
