Source,Moral Dimension,Variable,Coef,95% CI,p-value
AI News,care,Intercept,0.1444556427013076,"(0.143, 0.146)",0.0
AI News,care,C(Gender)[T.Woman],-0.005633295415970234,"(-0.010, -0.002)",0.004519412790744149
AI News,care,C(Domination)[T.woman-Dominated],-0.0007033676818970406,"(-0.004, 0.002)",0.6634637276509744
AI News,care,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.004011238719577314,"(-0.002, 0.010)",0.20247462859448606
AI News,fairness,Intercept,0.14182106564452227,"(0.140, 0.143)",0.0
AI News,fairness,C(Gender)[T.Woman],-0.003846394879493097,"(-0.007, -0.001)",0.011304769761351778
AI News,fairness,C(Domination)[T.woman-Dominated],-0.00044982320397303716,"(-0.003, 0.002)",0.7161591334996873
AI News,fairness,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.001416039677429274,"(-0.003, 0.006)",0.5566175165075603
AI News,loyalty,Intercept,0.1289674743128511,"(0.128, 0.130)",0.0
AI News,loyalty,C(Gender)[T.Woman],-0.003102739957463882,"(-0.006, -0.000)",0.028178745268918944
AI News,loyalty,C(Domination)[T.woman-Dominated],0.008681023887368574,"(0.006, 0.011)",4.813115967177699e-14
AI News,loyalty,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.00035532809148072834,"(-0.004, 0.005)",0.8741055290381023
AI News,authority,Intercept,0.12089278159478978,"(0.120, 0.122)",0.0
AI News,authority,C(Gender)[T.Woman],-0.003995089201782975,"(-0.007, -0.001)",0.004904204352074312
AI News,authority,C(Domination)[T.woman-Dominated],0.001464337822919539,"(-0.001, 0.004)",0.2056542396632577
AI News,authority,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.002785999894751079,"(-0.002, 0.007)",0.21619438898238807
AI News,sanctity,Intercept,0.12702670474426112,"(0.126, 0.128)",0.0
AI News,sanctity,C(Gender)[T.Woman],-0.003534093836722473,"(-0.006, -0.001)",0.014233454614359585
AI News,sanctity,C(Domination)[T.woman-Dominated],0.0017108672168704353,"(-0.001, 0.004)",0.14525345624241642
AI News,sanctity,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.0007138015421794944,"(-0.004, 0.005)",0.7549596564791652
Human News,care,Intercept,0.14352524062147,"(0.141, 0.146)",0.0
Human News,care,C(Gender)[T.Woman],-0.0018416553874356014,"(-0.009, 0.005)",0.6022698809956457
Human News,care,C(Domination)[T.woman-Dominated],0.003172061040635366,"(-0.001, 0.007)",0.12119855869205072
Human News,care,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.009053621969999093,"(-0.001, 0.019)",0.06706249309704507
Human News,fairness,Intercept,0.13857972341485378,"(0.137, 0.140)",0.0
Human News,fairness,C(Gender)[T.Woman],-0.00469590173145292,"(-0.010, 0.000)",0.06198968249704769
Human News,fairness,C(Domination)[T.woman-Dominated],-0.002014129431302202,"(-0.005, 0.001)",0.16693626855750343
Human News,fairness,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.0047210292537252,"(-0.002, 0.012)",0.1798525560746539
Human News,loyalty,Intercept,0.11732910937280834,"(0.116, 0.119)",0.0
Human News,loyalty,C(Gender)[T.Woman],-0.00019831071335193364,"(-0.004, 0.004)",0.921460895208087
Human News,loyalty,C(Domination)[T.woman-Dominated],0.007106409086526812,"(0.005, 0.009)",1.060542355929772e-09
Human News,loyalty,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.0032693909337125067,"(-0.002, 0.009)",0.2452954947992616
Human News,authority,Intercept,0.11968773930204332,"(0.118, 0.121)",0.0
Human News,authority,C(Gender)[T.Woman],0.0005227382098224791,"(-0.004, 0.005)",0.7994366181876129
Human News,authority,C(Domination)[T.woman-Dominated],0.002089751944694625,"(-0.000, 0.004)",0.07948356635822655
Human News,authority,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.0034015730356292914,"(-0.002, 0.009)",0.23728842426981822
Human News,sanctity,Intercept,0.12412848783607822,"(0.122, 0.126)",0.0
Human News,sanctity,C(Gender)[T.Woman],-0.00019705053406115122,"(-0.005, 0.005)",0.93860363096209
Human News,sanctity,C(Domination)[T.woman-Dominated],0.001454134900585535,"(-0.001, 0.004)",0.3264053117696716
Human News,sanctity,C(Gender)[T.Woman]:C(Domination)[T.woman-Dominated],0.004100098079619828,"(-0.003, 0.011)",0.2519643057456099
